total_rooms,population,median_income,median_house_value
2098,908,7.7589,342900
3930,1831,6.3767,269000
1414,635,10.0757,383900
1741,811,12.3411,500001
2404,868,11.0138,442100
4477,1798,8.1093,410400
6258,1730,10.9601,500001
3770,1606,6.1321,309700
3118,1546,5.27,209400
4031,2558,3.1641,117300
2168,1050,4.6172,238300
3079,1431,4.0714,278900
1982,1027,7.0526,327500
5392,2531,6.2185,280300
2603,1350,6.057,235900
1810,1189,5.2227,213500
1788,676,10.1299,454300
3173,1181,8.3637,500001
2260,1182,6.0705,236700
2556,822,9.9055,456900
3207,1414,4.0484,165600
4485,2048,5.4562,274700
4977,2061,6.58,318500
2308,967,7.0565,324600
2578,976,7.1882,359200
2774,1229,6.2944,265600
3230,1193,6.5308,287800
2910,1270,4.6161,236500
893,342,2.8261,146500
1270,809,5.0162,223000
845,482,4.7039,225000
2542,1720,3.8703,137000
3477,1593,6.8634,276500
7105,3068,6.1395,358000
3068,1357,7.9187,333600
1010,649,2.5197,350000
4227,1605,6.4238,278400
2460,1049,6.4967,387500
2105,830,6.3822,362500
1974,808,9.8589,500001
2421,1023,8.0683,451500
8254,3460,6.5253,349900
2671,1484,4.9844,203000
11026,5407,4.075,231100
9446,4911,5.0111,212900
17527,8380,6.2734,267000
21533,9671,7.0329,368300
1956,671,6.5841,306400
2446,1196,6.5755,272800
1737,840,4.625,245700
2112,1048,6.9308,231700
6971,3521,5.2131,243900
2775,1226,3.6707,231400
3259,1354,5.7817,267600
1100,940,3.6953,150000
1972,970,5.4298,234200
3550,2828,2.8403,225600
2016,1095,3.8681,196000
4713,2271,5.8622,221000
2070,1078,2.9312,220100
4931,2249,4.275,285400
2956,1342,4.1151,203200
2660,1475,3.4152,210200
6433,2703,4.9957,296400
6114,4088,3.0382,183600
1818,958,2.6771,131500
5768,4853,3.5387,160400
3226,1666,4.1652,184500
2634,1454,3.7976,275000
1011,511,7.9217,296200
2355,747,6.5356,272800
638,426,3.7875,187500
2149,950,4.1103,250400
1751,765,5.0762,98000
6739,4614,4.002,115100
3773,2103,4.6937,198000
2026,1142,4.392,187600
3465,1722,4.8304,228900
7836,4419,3.8465,180700
3638,1993,6.1076,221200
1723,707,7.0352,299600
3544,1787,6.7837,264300
6157,2817,5.0629,232600
4388,2526,4.5217,219400
10281,4926,4.7946,251200
5574,2607,4.0324,244900
2733,1378,5.3041,235700
2590,1658,2.378,199600
2577,1086,4.6125,229200
3817,1656,4.25,248000
3350,1314,3.5195,249100
4412,1656,4.3292,206500
2110,1146,4.3698,229600
378,196,3.6806,219400
1458,615,4.2798,218800
4367,2164,4.0214,139500
1818,1426,3.2104,112500
1752,910,3.3611,134600
6072,4715,3.1353,121400
2572,1534,2.4211,175000
665,384,4.5833,230400
1688,857,3.7857,231600
1649,1030,2.2262,225000
6840,6083,2.4132,198300
4281,1443,9.0519,500001
2899,1251,6.1049,297200
1582,654,4.9091,275000
1959,1021,4.3145,233000
1748,985,3.1133,180600
9255,4944,4.5708,223000
5179,2315,4.51,189900
4556,2066,6.4667,263900
1160,467,8.105,386200
761,295,11.1077,500001
2712,1389,5.6513,227900
3331,1460,8.0287,371800
1548,811,5.2037,242200
4026,1997,5.5918,260500
3326,1616,5.7457,240600
4020,1486,5.9639,262300
4753,2138,7.3658,288500
329,209,4.6806,187500
4678,2427,4.2276,254100
2095,793,6.6719,271700
1904,945,5.6784,232400
1766,876,4.0417,234500
4186,2447,4.9917,248100
1461,1322,4.3269,194100
1593,872,3.825,216700
1963,1197,3.8929,211000
1846,867,3.4234,200000
1251,729,2.4688,236400
3187,1977,3.3939,212100
5928,3570,4.0398,233100
2186,908,4.575,225000
2311,2936,2.5651,171400
2589,5756,2.1992,170800
1248,1214,2.7059,159800
1499,3328,2.4539,115000
729,316,10.3893,500001
4340,1505,7.5674,500001
803,628,4.1932,14999
3097,1484,3.1905,235300
2344,1098,6.2089,283400
1304,607,2.588,209500
2383,1269,4.636,245500
630,378,3.4107,170800
1185,588,5.0832,196900
2535,1327,3.5977,180600
3855,2205,5.5496,218200
2524,1003,7.5196,380900
6300,3671,5.9716,262100
4632,3038,5.1762,264400
17820,8686,6.3875,310700
2889,1227,6.4514,270800
3205,1291,7.2478,299200
1452,630,6.9113,285200
3977,1886,6.5843,272200
1621,871,3.7361,201400
1591,891,5.6573,216000
1600,685,5.1784,254000
1131,622,4.9306,158500
1725,920,3.0087,159400
1682,1015,6.6603,230900
1683,1242,3.5172,190400
1793,1722,2.8235,153100
1024,483,4.105,194500
1883,1227,3.8929,187500
3523,2660,3.1792,146400
2635,1710,3.125,215000
2713,1952,2.6959,178800
4159,1669,4.6111,240300
3153,1679,4.7083,205300
1565,3157,2.9271,123200
187,207,1.8,154200
275,554,3.5972,158000
1761,1810,1.9309,173400
1632,3356,1.5054,137500
525,1257,3.375,165300
2415,3242,3.425,165600
691,926,4.125,175900
2284,2451,3.3125,159100
1115,1369,3.5694,150500
2651,3249,3.7202,182100
1702,2776,2.6385,180200
407,647,3.775,177400
1429,2089,3.413,150600
1461,1909,3.5511,159100
191,208,3.375,157500
1795,2246,3.152,152800
20,15,3.875,450000
3618,1326,5.4284,500001
3095,1175,5.3099,500001
3166,1092,7.9367,500001
2975,1247,10.1989,500001
3191,930,8.6001,500001
1891,635,6.6265,500001
2566,1181,4.1518,91800
2655,1056,5.4224,269500
2495,1139,2.9375,209200
1677,873,3.12,194300
2059,1073,4.2454,183800
1324,799,4.5234,192200
2208,1084,3.775,191700
6409,3359,3.875,173300
1267,640,5.2405,220000
1484,927,3.6484,189600
4518,2037,5.6015,267200
3630,2257,3.2469,206900
4723,2210,3.8167,258700
3652,1525,10.1248,428500
27700,15037,6.6288,339700
4039,1905,6.3303,303000
3181,1416,6.8268,280300
1142,486,7.1472,270100
2340,1382,3.343,184600
1674,786,6.4218,275000
1441,769,2.425,171700
3333,2026,3.5667,190700
2612,1682,3.6417,204300
1808,1342,3.025,156900
2655,1519,3.3036,183900
2663,1367,4.6563,162400
1332,1534,3.0227,297100
1898,1766,2.4929,158500
2292,2197,3.4856,142800
2232,1149,3.1534,324400
45,34,5.2949,350000
1928,961,4.0724,231400
2395,1224,5.1182,249200
3381,1584,5.3812,235400
2435,1088,5.9397,249400
3082,1268,3.7604,280100
2022,1196,3.7454,186000
2487,1515,4.3039,168500
2813,1334,4.7208,173500
2512,978,8.0784,320300
4943,2164,4.1071,311300
411,448,1.7019,350000
697,812,2.6635,162500
2782,1968,0.971,102500
2411,2165,3.415,172500
2338,3289,2.6734,158500
2264,1970,3.4193,177000
3167,2789,3.5902,165900
2216,2445,3.8421,174000
3397,1924,4.9148,155500
1087,817,3.5326,262500
3216,1916,4.9153,266400
2337,983,3.7174,275000
3521,1336,10.2849,500001
6163,1912,10.8289,500001
1266,375,9.802,500001
2209,735,15.0001,500001
2267,866,7.79,500001
1598,782,5.1155,500000
3415,1275,4.498,482900
3120,1155,5.2949,500001
3212,1064,6.6155,500001
2499,910,6.6544,500001
1764,924,3.875,186700
2308,1001,7.5112,355500
3713,2106,4.0023,185500
2029,1327,4.1836,164300
1574,1088,4.0938,165300
912,522,4.0417,178000
1485,1006,5.1708,158500
2923,1751,3.2383,157000
3357,1696,4.2685,216600
3416,2223,3.5109,186000
6132,3147,2.7763,187800
6689,3081,5.9254,491200
6756,4429,4.7589,178200
5459,3394,3.6308,192100
19059,10988,5.5469,265200
6100,2771,7.6486,306700
3180,1413,6.5945,277300
3583,2300,3.0214,218400
1616,866,3.6435,119100
3218,1701,3.6946,265500
959,353,4.5,173300
1919,1302,5.6409,190900
3924,2332,3.7772,223900
1234,507,2.3173,225000
1105,971,3.1667,113900
2705,2726,2.7759,200000
1410,837,6.1168,213900
1526,906,5.1782,225000
3301,1532,3.7303,223800
1785,750,6.8407,266700
1783,1048,6.0488,232000
2247,1382,3.8631,225000
3141,1572,3.3472,237400
1813,1235,3.5972,187500
2549,1044,6.9737,288800
2988,2354,3.4345,235500
1344,747,4.5125,195400
3004,5477,2.8342,187200
1823,2176,1.5026,151800
1120,1718,2.8077,140300
720,1045,3.1964,151900
1799,3416,3.0083,163500
2261,3545,2.5224,148500
1444,2329,3.1691,159400
2471,2594,3.75,170500
2291,3232,3.2037,163500
1596,1703,4.1,184900
1738,1403,3.1742,245000
534,249,5.3254,240500
2135,1464,5.4836,225800
5122,2966,3.4835,116700
1505,835,3.8029,205400
5330,2734,5.2138,233100
6017,2673,3.5426,295400
4879,1777,5.9055,477300
3615,1209,8.5574,392200
9565,3162,4.7024,345400
5488,1938,8.8742,500001
2278,772,10.1275,500001
4644,2855,3.3654,222100
2159,1443,4.1995,147400
1566,1396,4.05,141300
1470,885,4.9239,168800
1447,1224,3.9934,141900
806,446,4.5221,151300
2434,1623,3.6875,140200
3185,1858,3.8304,175900
2048,1456,3.125,168600
3341,1762,2.9437,180400
1813,1100,3.4453,176700
1055,538,2.4167,181300
1811,1005,5.5629,188300
1205,583,2.3971,188900
1711,825,3.5,215600
2115,1107,3.1949,207400
834,392,4.5179,218800
1439,804,3.9808,188600
2374,1580,3.8837,200300
4535,3881,3.6275,154100
3272,1784,4.0324,211300
3088,1415,2.5125,184500
3349,1822,4.7216,227000
2120,1281,3.4954,159500
2936,1381,5.4617,190300
1562,609,2.3935,125000
1533,693,7.898,258200
1426,652,6.5284,288700
1671,678,13.1107,467600
1582,771,5.3836,229600
2091,1037,5.7519,243400
1655,1549,1.9127,175000
1133,693,3.3594,202100
1492,755,3.0893,188200
1395,1220,3.3008,193800
1583,1672,3.2303,201300
3315,2425,3.5521,182800
1587,1159,2.8021,195100
2984,1435,5.6276,200800
1268,700,5.0605,216200
1591,904,4.8906,179100
3197,1894,3.6761,140500
51,41,6.0224,187500
6352,5085,2.8835,193800
1799,1239,3.9219,189600
2656,2370,3.8056,177200
2753,3117,3.1713,170100
1205,1476,4.0231,139200
1759,2083,3.2292,160600
619,1217,4.6875,154400
660,959,3.75,159000
1562,2145,2.9167,158400
4343,3872,4.65,197800
2305,2493,3.6618,183500
4365,2663,4.5814,233300
1422,1092,4.7422,202400
1591,926,6.2452,266300
1857,838,3.2386,129200
5278,2389,3.3409,181300
2905,1452,5.0853,260300
3595,1621,4.1372,265200
2736,1279,5.5422,253100
1016,465,3.0625,93800
2126,745,5.1923,500001
1301,539,5,500001
2413,656,6.3017,350000
2259,1561,3.3043,155500
2240,1187,3.8365,184200
1126,819,1.5,139800
1640,1312,2.6292,136100
3076,2868,2.6619,117600
957,804,3.3322,151400
1788,1787,2.6629,124100
1555,1571,4.0529,138200
1286,1047,4.2019,140100
2739,1481,4.5655,176600
3007,1766,3.7083,166000
1562,825,4.125,220800
5482,3426,3.2943,204400
2068,976,5.212,201200
1646,1056,3.055,172000
1313,599,7.5,287200
2956,1488,5.3664,268300
1701,831,5.4469,274700
629,253,7.6286,330400
11989,6652,4.5554,278300
14058,8997,5.0704,226200
2383,2079,3.9702,141400
8076,5325,3.443,171900
9893,7228,3.253,186700
7353,4014,5.4155,213200
4325,1897,3.3173,247400
698,391,5.9177,267600
4181,2049,4.3103,201600
2885,1227,4.9524,226600
2176,1002,4.9743,193500
2062,991,5.2897,230400
1396,661,4.675,215400
2696,947,9.0055,375400
2315,1360,2.9861,218600
1756,1026,3.6,193500
3413,2326,4.325,187100
2043,1524,3.5329,187400
3065,2204,3.8456,211800
2459,2720,2.8072,164700
1187,1003,2.4931,166900
2176,1440,4.375,212500
1368,1940,3.0789,350000
2964,2639,2.4833,157500
1342,748,2.9231,45000
2002,1726,3.9613,182300
2678,3262,3.6953,176800
1893,2245,3.7143,163000
1346,1575,3.425,159500
808,1066,4.7679,173100
2932,5516,2.7535,111000
1435,3171,3.0833,151700
1566,1032,2.2105,180400
1884,1915,2.3783,166700
2930,5116,3.7147,164100
746,1048,4.1,166400
1324,1804,3.9659,178500
443,577,3.6875,137500
2613,3150,4.3899,180700
4208,2592,6.1966,260500
1917,1324,6.2488,252000
539,287,6.3427,305200
2289,982,4.5757,162500
4695,2153,4.6483,190800
9947,4071,5.422,316600
7060,3903,4.8359,249200
2507,1333,6.1601,266100
639,311,6.6833,275900
456,623,6.6369,192600
3568,1952,3.1667,161000
1642,841,3.6042,226000
1634,771,3.4125,284100
2043,1108,5.2549,261800
4496,1928,4.6808,245500
2017,850,5.0532,310900
2466,1081,3.9375,339800
3556,1381,6.1426,450700
2370,832,7.1148,500001
4486,1598,10.1454,500001
1632,598,3.2125,455000
1469,507,3.4937,500001
1521,527,4.0764,500001
2897,860,13.1738,500001
2225,1544,2.2442,166700
1540,1037,2.2132,138500
2673,2259,3.7846,145500
1391,1038,4.1944,149500
3158,2396,3.525,153000
2746,1779,4.25,166700
3694,1999,3.2813,181100
1443,861,3.5795,186900
2325,1170,3.6625,217100
1390,887,5.0897,189000
2938,1519,4.5594,204200
3250,1382,5.112,218300
3189,1727,5.0758,211100
8749,5278,4.6324,168800
6269,5587,3.8201,136200
5973,4349,3.2799,199300
2578,1207,6.2452,291700
380,398,4.7222,208300
1763,894,5.0096,221700
1530,666,4.125,230200
2181,1555,3.6106,196400
2249,1015,4.9766,267100
829,383,9.3125,293500
1631,523,7.875,351900
2031,1191,2.9076,177300
2296,1415,2.4732,165800
932,1147,2.7014,156700
